node,InnateMemory,Fibrosis,Hypertrophy,Regeneration,Pluripotency,MyogenicDiff,ADM,EMT,Senescence
LPS,0.3240,0.0000,0.0000,0.0000,0.0000,-0.0120,0.0000,0.0000,0.0000
MechanicalStiffness,0.0335,0.9195,0.0000,0.0000,0.0000,0.0120,0.0811,0.0000,0.1212
MechanicalStretch,0.0335,0.1144,0.9323,0.0000,0.0000,0.0120,0.0811,0.0000,0.0606
Caerulein,-0.0279,0.0000,0.0000,0.0000,0.0000,-0.0120,0.1014,0.0000,0.0000
TGFbeta,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Factin,-0.0056,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Piezo1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CaMKII,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PKD,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ARID1A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
mTORC1,-0.0112,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Autophagy,-0.0168,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SLC5A8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
NFkB,-0.0056,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PU1,0.0168,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
YAP_TAZ,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
TEAD,-0.0112,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Smad3,-0.0112,0.0000,0.0000,0.0000,0.0000,-0.0120,0.0000,0.0000,0.0000
MyoD,0.0056,0.0000,0.0000,0.0000,0.0000,0.1687,0.0068,0.0000,0.0303
Oct4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
AP1,-0.1117,0.0000,0.0000,0.0000,0.0000,-0.0120,0.0000,0.0000,0.0000
MEF2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Sox9,0.0335,0.0000,0.0000,0.0000,0.0000,-0.0241,0.4865,0.0000,0.0303
HDAC4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
HDAC5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
HDAC1_3,-0.0447,0.0000,0.0000,0.0000,0.0000,0.0120,0.0000,0.0000,0.0000
SWI_SNF,0.0000,0.0000,0.0000,0.0000,0.0000,0.0120,0.0000,0.0000,0.0000
TNFalpha,-0.0168,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Twist1,-0.0056,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Snai1,-0.0056,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GATA3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CEBPB,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0120,0.0000,0.0000,0.0000
RUNX1,-0.0112,0.0000,0.0000,0.0000,0.0000,0.0120,0.0000,0.0000,0.0000
KLF4,-0.0112,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
NANOG,-0.0056,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SOX2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FOXA2,-0.0223,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
HNF4A,-0.0056,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ZEB1,-0.0726,0.0000,0.0000,0.0000,0.0000,0.0120,0.0000,0.0000,0.0000
EZH2,-0.0112,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CDKN1A,-0.0391,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4848
CDKN2A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7879
