symbol	chrom	start	end	strand
ACTA1	1	229430365	229434789	-1
ACTA2	10	88934815	88991339	-1
ACTB	7	5526409	5563902	-1
ACTN2	1	236664141	236764631	1
ADIPOQ	3	186842674	186858463	1
AGR2	7	16791387	16833433	-1
AHSP	16	31512938	31528808	1
AICDA	12	8602155	8613242	-1
ALAS2	X	55009055	55030986	-1
ALPI	2	232456125	232460753	1
ALPL	1	21508813	21579441	1
ANKRD1	10	90912092	90921277	-1
APOA4	11	116820700	116823427	-1
ARID1A	1	26693236	26782104	1
ASCL2	11	2268498	2271040	-1
ATG7	3	11272309	11557665	1
AXIN2	17	65528561	65562067	-1
BATF	14	75522455	75546993	1
BCL6	3	187721377	187745725	-1
BGLAP	1	156242154	156243317	1
BIRC5	17	78214186	78225636	1
BTLA	3	112461067	112499668	-1
CALD1	7	134744252	134970748	1
CAMK2D	4	113418054	113762572	-1
CCL2	17	34255274	34257208	1
CCL5	17	35871491	35880793	-1
CCN2	6	131948176	131951456	-1
CCND1	11	69641070	69654474	1
CD14	5	140630402	140633711	-1
CD200	3	112332235	112363181	1
CD36	7	80369532	80679277	1
CD38	4	15778275	15853232	1
CD40LG	X	136648139	136660390	1
CD80	3	119523073	119580616	-1
CD86	3	122055356	122121557	1
CDH2	18	27932879	28178024	-1
CDKN1A	6	36676441	36688042	1
CDKN2A	9	21966924	21995301	-1
CDX2	13	27959646	27975983	-1
CEBPA	19	33299934	33302534	-1
CEBPB	20	50190734	50192690	1
CENPF	1	214603172	214664574	1
CFD	19	859426	869492	1
CFTR	7	117287120	117715971	1
CGA	6	87085495	87095150	-1
CHGA	14	92922630	92935293	1
CHGB	20	5911389	5925940	1
CIDEC	3	9864169	9891008	-1
CKM	19	45306411	45323372	-1
COL1A1	17	50184101	50201704	-1
COL1A2	7	94394360	94431227	1
COL3A1	2	188974371	189012746	1
CSH1	17	63894906	63896667	-1
CTLA4	2	203853888	203873965	1
CXCL1	4	73868963	73871388	1
CXCL10	4	76021118	76023518	-1
CXCL8	4	73740519	73747379	1
CXCL9	4	76001275	76007515	-1
CXCR5	11	118883868	118897787	1
DCX	X	111293779	111412429	-1
DES	2	219417474	219426740	1
DLX5	7	97020105	97024950	-1
DNMT3B	20	32762385	32809359	1
DPPA4	3	109326141	109340118	-1
ELAVL3	19	11451326	11481051	-1
ENTPD1	10	95711752	95901433	1
EOMES	3	27715949	27722711	-1
EPOR	19	11377207	11384343	-1
ESRRB	14	76310712	76501837	1
EZH2	7	148807257	148884625	-1
FABP2	4	119316752	119322141	-1
FABP4	8	81474792	81483243	-1
FLI1	11	128686535	128813267	1
FN1	2	215359468	215436120	-1
FOXA2	20	22580998	22585498	-1
FOXP3	X	49250436	49264800	-1
GAP43	3	115623292	115721490	1
GATA1	X	48783122	48794311	1
GATA3	10	8045212	8075825	1
GATA4	8	11676785	11763223	1
GCM1	6	53126961	53148841	-1
GDF15	19	18374731	18389176	1
GLB1	3	32961103	33097436	-1
GP1BA	17	4932261	4935023	1
GP6	19	55012055	55038264	-1
GP9	3	129060774	129062435	1
GPD1	12	50103982	50129648	1
GUCA2A	1	42162690	42164815	-1
GYPA	4	144108904	144140751	-1
HAVCR2	5	157085422	157142869	-1
HBA1	16	176660	177527	1
HBB	11	5225464	5229395	-1
HDAC1	1	32291919	32333635	1
HDAC4	2	239048168	239401661	-1
HDAC5	17	44076746	44123702	-1
HIF1A	14	61695357	61748529	1
HLA-G	6	29826967	29831130	1
HNF1B	17	37686431	37745095	-1
HNF4A	20	44355439	44432845	1
IBSP	4	87799546	87813329	1
ICOS	2	203936757	203961577	1
IGFBP3	7	45912245	45921874	-1
IGFBP7	4	56986181	57110921	-1
IKZF2	2	212999691	213152427	-1
IKZF4	12	56007392	56038435	1
IL10	1	206767602	206774541	-1
IL12B	5	159314780	159330863	-1
IL1A	2	112773916	112784500	-1
IL1B	2	112829750	112864235	-1
IL21	4	122610108	122621066	-1
IL2RA	10	6010689	6062370	-1
IL6	7	22725884	22732002	1
INHA	2	219569162	219575711	1
IRF1	5	132440440	132508719	-1
IRF4	6	391739	411443	1
IRF5	7	128933429	128950389	1
ITGA2B	17	44372177	44389649	-1
ITGA5	12	54395261	54419515	-1
JUN	1	58776845	58784048	-1
KLF1	19	12884405	12887201	-1
KLF4	9	107484454	107490482	-1
KRT18	12	52945688	52952911	1
KRT19	17	41523613	41528370	-1
KRT20	17	40872785	40885249	-1
KRT7	12	52232520	52252186	1
KRT8	12	52897182	52949954	-1
LAG3	12	6772360	6778455	1
LEP	7	128241222	128257629	1
LGR5	12	71439795	71586310	1
LIN28A	1	26410788	26429728	1
LIPE	19	42401497	42427388	-1
LOX	5	122063151	122078634	-1
LPL	8	19901717	19967653	1
LRRC32	11	76657524	76670868	-1
MAF	16	79583128	79600737	-1
MAP2	2	209423988	209734235	1
MARCO	2	118942172	118994664	1
MEF2B	19	19145563	19192589	-1
MEF2C	5	88717117	88904257	-1
MEPE	4	87821398	87846814	1
MKI67	10	128096659	128126458	-1
MMP2	16	55389700	55508058	1
MMP3	11	102835801	102843615	-1
MMP9	20	46008869	46016561	1
MPL	1	43337808	43354466	1
MSX2	5	174724551	174730896	1
MTOR	1	11106531	11262556	-1
MUC1	1	155185824	155192916	-1
MUC2	11	1074875	1110511	1
MYBPH	1	203167811	203175880	-1
MYF5	12	80716906	80719671	1
MYH3	17	10628526	10657309	-1
MYH6	14	23380206	23408945	-1
MYH7	14	23412732	23436137	-1
MYL2	12	110909996	110921443	-1
MYL7	7	44138857	44143179	-1
MYOD1	11	17719565	17722136	1
MYOG	1	203083129	203086050	-1
MZB1	5	139387467	139390081	-1
NANOG	12	7787794	7799153	1
NEFL	8	24950955	24956721	-1
NEFM	8	24913758	24919098	1
NEUROD1	2	181668295	181680827	-1
NEUROG2	4	112513516	112516180	-1
NFATC1	18	79395856	79531338	1
NFE2	12	54292107	54301259	-1
NFKB1	4	102500911	102617302	1
NLRP3	1	247332331	247449668	1
NOS2	17	27755283	27800758	-1
NOTUM	17	81952507	81963328	-1
NPPA	1	11845701	11848345	-1
NPPB	1	11857454	11859648	-1
NR4A1	12	52022832	52059509	1
ONECUT2	18	57435374	57491298	1
PCNA	20	5114953	5127630	-1
PDCD1	2	241849884	241858894	-1
PDGFRB	5	150113839	150186363	-1
PF4	4	73980759	73982111	-1
PHEX	X	22032293	22494713	1
PIEZO1	16	88715338	88785251	-1
PLEK	2	68365075	68397453	1
PLIN1	15	89664365	89679466	-1
POSTN	13	37562582	37598855	-1
POU5F1	6	31163193	31180731	-1
PPARG	3	12287368	12455622	1
PPBP	4	73985966	73988276	-1
PRDM1	6	105993463	106109939	1
PRDM14	8	70049063	70072862	-1
PRKD1	14	29576479	30191898	-1
PSG1	19	42866462	42879822	-1
PSG3	19	42709084	42740524	-1
RBFOX3	17	79089345	79611317	-1
RCAN1	21	34513142	34615323	-1
RELA	11	65653599	65663138	-1
RGS13	1	192636061	192660311	1
RUNX1	21	34787801	36004667	-1
RUNX2	6	45328157	45664349	1
S100A4	1	153543613	153552135	-1
S1PR2	19	10221433	10231331	-1
SALL4	20	51782331	51802578	-1
SATB2	2	199268900	199471271	-1
SDC1	2	20200796	20225512	-1
SELP	1	169588421	169630193	-1
SERPINE1	7	101122158	101139263	1
SLC26A3	7	107764219	107803630	-1
SLC4A1	17	44248390	44268162	-1
SLC5A8	12	101155188	101210243	-1
SMAD3	15	67063763	67195173	1
SMARCA4	19	10960824	11079426	1
SNAI1	20	49982979	49988886	1
SNAI2	8	48917284	48921740	-1
SNAP25	20	10172395	10308258	1
SOX2	3	181711925	181714436	1
SOX9	17	72121013	72126416	1
SP7	12	53326575	53345315	-1
SPARC	5	151661096	151687352	-1
SPI1	11	47354860	47409369	-1
SPINK4	9	33218365	33248567	1
SPP1	4	87975667	87983532	1
SPTA1	1	158610704	158686715	-1
STAT1	2	190908460	191020960	-1
STMN2	8	79610919	79666175	1
SYP	X	49187807	49200218	-1
TAGLN	11	117197509	117207464	1
TAL1	1	47216290	47232225	-1
TEAD1	11	12674371	12944751	1
TFAP2C	20	56629306	56639283	1
TFF3	21	42311667	42315530	-1
TFRC	3	196012511	196082162	-1
THY1	11	119415476	119424985	-1
TIGIT	3	114276913	114310288	1
TIMP1	X	47582227	47586793	1
TLR4	9	117704170	117724735	1
TNF	6	31575558	31578336	1
TNFRSF18	1	1203508	1206814	-1
TNFRSF9	1	7915871	7943165	-1
TNNI1	1	201403784	201429866	-1
TNNT2	1	201356606	201379773	-1
TNNT3	11	1919456	1938711	1
TOP2A	17	40388521	40417941	-1
TOX	8	58805412	59119310	-1
TOX2	20	43914802	44069616	1
TP53	17	7661779	7687546	-1
TTN	2	178525989	178830802	-1
TUBB1	20	59019379	59026654	1
TUBB3	16	89921392	89938761	1
TWIST1	7	19020991	19117645	-1
UTF1	10	133229352	133231558	1
VIL1	2	218419083	218453295	1
VIM	10	17228241	17237595	1
VWF	12	5948877	6124770	-1
WNT5A	3	55465715	55490539	-1
XBP1	22	28793534	28800597	-1
YAP1	11	102109968	102233534	1
ZEB1	10	31318495	31529814	1
ZEB2	2	144364364	144521057	-1
ZFP42	4	187994044	188007005	1
